ID	name	movies_95_04	main_genre	genres
3255	"Norwood, Brandy"	27	Music	Comedy:2,Documentary:5,Drama:1,Family:2,Music:11,NULL:5,Thriller:1
6323	"Siffredi, Rocco"	124	Adult	Adult:87,Comedy:1,Documentary:3,Drama:3,NULL:27,Short:1,Thriller:1,Western:1
1172	"Lloyd, Emily"	14	Drama	Comedy:2,Crime:1,Drama:3,Music:1,NULL:2,Sci-Fi:1,Short:1,Thriller:2,War:1
13294	"Shin, Hyeon-jun"	10	Action	Action:2,Comedy:1,Drama:2,NULL:2,Romance:1,Short:1,Thriller:1
15563	"Sinden, Donald"	10	Romance	Adventure:1,Comedy:1,Drama:2,Family:1,Musical:1,NULL:2,Romance:2
9334	"Astaire, Fred"	11	Music	Documentary:6,Family:1,Music:2,Musical:1,Short:1
17270	"Pohjola, Anja"	10	Comedy	Comedy:4,Drama:2,NULL:2,Romance:1,War:1
8069	"Quinn, Danny (I)"	14	Adventure	Adventure:2,Documentary:1,Drama:2,Mystery:1,NULL:7,Thriller:1
16780	"Cave, Nick"	10	Music	Documentary:3,Music:5,NULL:2
8773	"Kuwata, Kong"	12	Animation	Action:3,Animation:9
13210	"Mahadevan, Anant"	10	Drama	Drama:3,Fantasy:1,NULL:3,Romance:1,Thriller:2
10213	"Adánez, María"	24	Family	Adventure:1,Comedy:4,Drama:3,Family:4,Mystery:1,NULL:5,Romance:4,Short:2
5518	"Connor, A.C."	27	Action	Action:10,Adult:2,Documentary:1,NULL:12,Thriller:2
12445	"O&apos;Connell, Brittany"	40	Adult	Action:2,Adult:28,Comedy:1,Drama:1,Fantasy:1,NULL:3,Sci-Fi:2,Short:2
6249	"Tyler, Tina (I)"	61	Adult	Adult:31,Crime:2,Documentary:5,Drama:2,Fantasy:4,NULL:15,Sci-Fi:1,Thriller:1
9473	"Calderon, Paul"	17	Drama	Action:1,Crime:3,Drama:8,NULL:2,Short:1,Thriller:2
15203	"Boynton, Ken"	11	Comedy	Action:1,Adventure:1,Animation:1,Comedy:2,Drama:1,Fantasy:1,NULL:1,Sci-Fi:1,Short:1,War:1
698	"Ralph, Sheryl Lee"	16	Drama	Adventure:1,Comedy:2,Documentary:5,Drama:3,Fantasy:2,NULL:2,Thriller:1
17823	"Koudal, Mads"	26	Drama	Comedy:4,Documentary:1,Drama:4,Family:1,Horror:2,Musical:1,NULL:2,Romance:2,Sci-Fi:1,Short:2,Thriller:4,Western:2
15013	"Sipos, Regina"	14	Adult	Adult:10,NULL:4
3545	"Eleniak, Erika"	26	Thriller	Comedy:1,Documentary:4,Drama:9,Fantasy:1,Mystery:1,Romance:1,Thriller:9
7593	"Massey, Athena"	15	Thriller	Action:1,Animation:3,Drama:2,NULL:3,Sci-Fi:1,Thriller:5
4285	"Templeman, Simon"	12	Horror	Action:1,Animation:2,Comedy:1,Drama:3,Fantasy:1,Horror:3,NULL:1
865	"Williams, Peter (IV)"	14	Drama	Adult:1,Drama:6,Family:1,Fantasy:1,NULL:2,Sci-Fi:1,Thriller:2
2362	"Goddard, Tristan"	10	Animation	Animation:4,Fantasy:2,NULL:1,Sci-Fi:1,Short:1,Thriller:1
